genus,family
Arthropteris,Tectariaceae
Hypoderris,Tectariaceae
Malaifilix,Tectariaceae
Polydictyum,Tectariaceae
Pteridrys,Tectariaceae
Tectaria,Tectariaceae
Triplophyllum,Tectariaceae
Draconopteris,Tectariaceae
Amauropelta,Thelypteridaceae
Amblovenatum,Thelypteridaceae
Ampelopteris,Thelypteridaceae
Chingia,Thelypteridaceae
Chrinephrium,Thelypteridaceae
Chrismatopteris,Thelypteridaceae
Christella,Thelypteridaceae
Coryphopteris,Thelypteridaceae
Cyclogramma,Thelypteridaceae
Cyclosorus,Thelypteridaceae
Glaphyropteridopsis,Thelypteridaceae
Goniopteris,Thelypteridaceae
Macrothelypteris,Thelypteridaceae
Meniscium,Thelypteridaceae
Menisorus,Thelypteridaceae
Mesophlebion,Thelypteridaceae
Mesopteris,Thelypteridaceae
Metathelypteris,Thelypteridaceae
Nannothelypteris,Thelypteridaceae
Oreopteris,Thelypteridaceae
Parathelypteris,Thelypteridaceae
Phegopteris,Thelypteridaceae
Plesioneuron,Thelypteridaceae
Pneumatopteris,Thelypteridaceae
Pronephrium,Thelypteridaceae
Pseudocyclosorus,Thelypteridaceae
Sphaerostephanos,Thelypteridaceae
Stegnogramma,Thelypteridaceae
Steiropteris,Thelypteridaceae
Thelypteris,Thelypteridaceae
Trigonospora,Thelypteridaceae
Thyrsopteris,Thyrsopteridaceae
Physematium,Woodsiaceae
Woodsia,Woodsiaceae
Woodsimatium,Woodsiaceae
Cystodium,Cystodiaceae
Desmophlebium,Desmophlebiaceae
Didymochlaena,Didymochlaenaceae
Homalosorus,Diplaziopsidaceae
Cyclobotrya,Dryopteridaceae
Pleocnemia,Dryopteridaceae
Hemidictyum,Hemidictyaceae
Lindsaeosoria,Lindsaeaceae
Dracoglossum,Lomariopsidaceae
Dryopolystichum,Lomariopsidaceae
Lonchitis,Lonchitidaceae
Aneimiaebotrys,Anemiaceae
Anemidictyon,Anemiaceae
Anemidictyum,Anemiaceae
Anemirhiza,Anemiaceae
Colina,Anemiaceae
Cryptophyllum,Anemiaceae
Hemianemia,Anemiaceae
Mohria,Anemiaceae
Spathepteris,Anemiaceae
Trochopteris,Anemiaceae
Acropteris,Aspleniaceae
Amesium,Aspleniaceae
Antigramma,Aspleniaceae
Arcasplenium,Aspleniaceae
Asplenidictyum,Aspleniaceae
Asplenoceterach,Aspleniaceae
Asplenophyllitis,Aspleniaceae
Asplenosorus,Aspleniaceae
Biropteris,Aspleniaceae
Boniniella,Aspleniaceae
Caenopteris,Aspleniaceae
Camptosorus,Aspleniaceae
Ceterac,Aspleniaceae
Ceterach,Aspleniaceae
Ceterachopsis,Aspleniaceae
Ceterophyllitis,Aspleniaceae
Chamaefilix,Aspleniaceae
Darea,Aspleniaceae
Diellia,Aspleniaceae
Diplora,Aspleniaceae
Eremopodium,Aspleniaceae
Glossopteris,Aspleniaceae
Holodictyum,Aspleniaceae
Loxoscaphe,Aspleniaceae
Micropodium,Aspleniaceae
Neottopteris,Aspleniaceae
Notolepeum,Aspleniaceae
Phyllitis,Aspleniaceae
Phyllitopsis,Aspleniaceae
Pleurosorus,Aspleniaceae
Rutamuraria,Aspleniaceae
Schaffneria,Aspleniaceae
Scolopendrium,Aspleniaceae
Sinephropteris,Aspleniaceae
Stormesia,Aspleniaceae
Tarachia,Aspleniaceae
Thamnopteris,Aspleniaceae
Triphlebium,Aspleniaceae
Allantodia,Athyriaceae
Anisogonium,Athyriaceae
Athyriopsis,Athyriaceae
Brachysorus,Athyriaceae
Callipteris,Athyriaceae
Cystoathyrium,Athyriaceae
Dictyodroma,Athyriaceae
Digrammaria,Athyriaceae
Dryoathyrium,Athyriaceae
Hypochlamys,Athyriaceae
Kuniwatsukia,Athyriaceae
Lotzea,Athyriaceae
Lunathyrium,Athyriaceae
Monomelangium,Athyriaceae
Neoathyrium,Athyriaceae
Neotriblemma,Athyriaceae
Ochlogramma,Athyriaceae
Oligocampia,Athyriaceae
Oxygonium,Athyriaceae
Parathyrium,Athyriaceae
Pseudocystopteris,Athyriaceae
Pteriglyphis,Athyriaceae
Triblemma,Athyriaceae
Blechnopteris,Blechnaceae
Chieniopteris,Blechnaceae
Distaxia,Blechnaceae
Homophyllum,Blechnaceae
Lomariobotrys,Blechnaceae
Lonchitis-Aspera,Blechnaceae
Lonchitis-aspera,Blechnaceae
Mesothema,Blechnaceae
Orthogramma,Blechnaceae
Pteridoblechnum,Blechnaceae
Spicanta,Blechnaceae
Steenisioblechnum,Blechnaceae
Stegania,Blechnaceae
Oceanopteris,Blechnaceae
Pinonia,Cibotiaceae
Actinophlebia,Cyatheaceae
Amphicosmia,Cyatheaceae
Chnoophora,Cyatheaceae
Cnemidaria,Cyatheaceae
Cormiophyllum,Cyatheaceae
Cormophyllum,Cyatheaceae
Cyathidaria,Cyatheaceae
Dichorexia,Cyatheaceae
Dicranophlebia,Cyatheaceae
Disphenia,Cyatheaceae
Eatoniopteris,Cyatheaceae
Gymnopremnon,Cyatheaceae
Gymnosphaera,Cyatheaceae
Halophlebia,Cyatheaceae
Hemistegia,Cyatheaceae
Hemitelia,Cyatheaceae
Hymenophyllopsis,Cyatheaceae
Microstegnus,Cyatheaceae
Nephelea,Cyatheaceae
Schizocaena,Cyatheaceae
Thysanobotrya,Cyatheaceae
Trachypremnon,Cyatheaceae
Trichipteris,Cyatheaceae
Trichopteris,Cyatheaceae
Carpogymnia,Cystopteridaceae
Currania,Cystopteridaceae
Cyclopteris,Cystopteridaceae
Cyste,Cystopteridaceae
Cystea,Cystopteridaceae
Filicula,Cystopteridaceae
Rhizomatopteris,Cystopteridaceae
Araiostegia,Davalliaceae
Araiostegiella,Davalliaceae
Davallodes,Davalliaceae
Humata,Davalliaceae
Pachypleuria,Davalliaceae
Paradavallodes,Davalliaceae
Parasorus,Davalliaceae
Parestia,Davalliaceae
Pteroneura,Davalliaceae
Pteronevron,Davalliaceae
Scyphularia,Davalliaceae
Stenochlamys,Davalliaceae
Stenolobus,Davalliaceae
Trogostolon,Davalliaceae
